a+,"[0.0, 0.0]"
affluence,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
affluent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
afford,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
affordable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
affordably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
afordable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
agile,"[0.0, 0.0, 0.0, 0.0, 0.0]"
agilely,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
agility,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
agreeable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
agreeableness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
agreeably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
all-around,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
alluring,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
alluringly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
altruistic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
altruistically,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
amaze,"[0.0, 0.0, 0.0, 0.0, 0.0]"
amazed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
amazement,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
amazes,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
amazing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
amazingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ambitious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ambitiously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ameliorate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
amenable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
amenity,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
amiability,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
amiabily,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
amiable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
amicability,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
amicable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
amicably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
amity,"[0.0, 0.0, 0.0, 0.0, 0.0]"
ample,"[0.0, 0.0, 0.0, 0.0, 0.0]"
amply,"[0.0, 0.0, 0.0, 0.0, 0.0]"
amuse,"[0.0, 0.0, 0.0, 0.0, 0.0]"
amusing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
amusingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
angel,"[0.0, 0.0, 0.0, 0.0, 0.0]"
angelic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
apotheosis,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
appeal,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
appealing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
applaud,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
appreciable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
appreciate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
appreciated,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
appreciates,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
appreciative,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
appreciatively,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
appropriate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
approval,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
approve,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ardent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ardently,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ardor,"[0.0, 0.0, 0.0, 0.0, 0.0]"
articulate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
aspiration,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
aspirations,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
aspire,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
assurance,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
assurances,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
assure,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
assuredly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
assuring,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
astonish,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
astonished,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
astonishing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
astonishingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
astonishment,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
astound,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
astounded,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
astounding,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
astoundingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
astutely,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
attentive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
attraction,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
attractive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
attractively,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
attune,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
audible,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
audibly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
auspicious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
authentic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
authoritative,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
autonomous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
available,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
aver,"[0.0, 0.0, 0.0, 0.0]"
avid,"[0.0, 0.0, 0.0, 0.0]"
avidly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
award,"[0.0, 0.0, 0.0, 0.0, 0.0]"
awarded,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
awards,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
awe,"[0.0, 0.0, 0.0]"
awed,"[0.0, 0.0, 0.0, 0.0]"
awesome,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
awesomely,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
awesomeness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
awestruck,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
awsome,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
backbone,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
balanced,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bargain,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
beauteous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
beautiful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
beautifullly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
beautifully,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
beautify,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
beauty,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
beckon,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
beckoned,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
beckoning,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
beckons,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
believable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
believeable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
beloved,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
benefactor,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
beneficent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
beneficial,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
beneficially,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
beneficiary,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
benefit,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
benefits,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
benevolence,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
benevolent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
benifits,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
best,"[0.0, 0.0, 0.0, 0.0]"
best-known,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
best-performing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
best-selling,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
better-known,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
better-than-expected,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
beutifully,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
blameless,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bless,"[0.0, 0.0, 0.0, 0.0, 0.0]"
blessing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bliss,"[0.0, 0.0, 0.0, 0.0, 0.0]"
blissful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
blissfully,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
blithe,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
blockbuster,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bloom,"[0.0, 0.0, 0.0, 0.0, 0.0]"
blossom,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bolster,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bonny,"[0.0, 0.0, 0.0, 0.0, 0.0]"
bonus,"[0.0, 0.0, 0.0, 0.0, 0.0]"
bonuses,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
boom,"[0.0, 0.0, 0.0, 0.0]"
booming,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
boost,"[0.0, 0.0, 0.0, 0.0, 0.0]"
boundless,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bountiful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
brainiest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
brainy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
brand-new,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
brave,"[0.0, 0.0, 0.0, 0.0, 0.0]"
bravery,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bravo,"[0.0, 0.0, 0.0, 0.0, 0.0]"
breakthrough,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
breakthroughs,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
breathlessness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
breathtaking,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
breathtakingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
breeze,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bright,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
brighten,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
brighter,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
brightest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
brilliance,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
brilliances,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
brilliant,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
brilliantly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
brisk,"[0.0, 0.0, 0.0, 0.0, 0.0]"
brotherly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bullish,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
buoyant,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cajole,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
calm,"[0.0, 0.0, 0.0, 0.0]"
calming,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
calmness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
capability,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
capable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
capably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
captivate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
captivating,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
carefree,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cashback,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cashbacks,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
catchy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
celebrate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
celebrated,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
celebration,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
celebratory,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
champ,"[0.0, 0.0, 0.0, 0.0, 0.0]"
champion,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
charisma,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
charismatic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
charitable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
charm,"[0.0, 0.0, 0.0, 0.0, 0.0]"
charming,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
charmingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
chaste,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cheaper,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cheapest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cheer,"[0.0, 0.0, 0.0, 0.0, 0.0]"
cheerful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cheery,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cherish,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
